file_name,normalized_transcription
lesmis_0001,Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple
lesmis_0002,Les deux plus mémorables barricades que l'observateur des maladies sociales puisse mentionner n'appartiennent point à la période où est placée l'action de ce livre.
lesmis_0003,"Ces deux barricades, symboles toutes les deux, sous deux aspects différents, d'une situation redoutable,"
lesmis_0004,"sortirent de terre lors de la fatale insurrection de juin 1848, la plus grande guerre des rues qu'ait vue l'histoire."
lesmis_0005,"Il arrive quelquefois que, même contre les principes, même contre la liberté, l'égalité et la fraternité,"
lesmis_0006,"même contre le vote universel, même contre le gouvernement de tous par tous, du fond de ses angoisses, de ses découragements, de ses dénûments, de ses fièvres, de ses détresses, de ses miasmes, de ses ignorances,"
lesmis_0007,"de ses ténèbres, cette grande désespérée, la canaille, proteste, et que la populace livre bataille au peuple."
lesmis_0008,Les gueux attaquent le droit commun; l'ochlocratie s'insurge contre le démos.
lesmis_0009,"Ce sont là des journées lugubres; car il y a toujours une certaine quantité de droit même dans cette démence, il y a du suicide dans ce duel; et ces mots,"
lesmis_0010,"qui veulent être des injures, gueux, canaille, ochlocratie, populace, constatent, hélas!"
lesmis_0011,plutôt la faute de ceux qui règnent que la faute de ceux qui souffrent; plutôt la faute des privilégiés que la faute des déshérités.
lesmis_0012,"Quant à nous, ces mots-là, nous ne les prononçons jamais sans douleur et sans respect, car, lorsque la philosophie sonde les faits auxquels ils correspondent,"
lesmis_0013,elle y trouve souvent bien des grandeurs à côté des misères. Athènes était une ochlocratie; les gueux ont fait la Hollande;
lesmis_0014,la populace a plus d'une fois sauvé Rome; et la canaille suivait Jésus-Christ.
lesmis_0015,"Il n'est pas de penseur qui n'ait parfois contemplé les magnificences d'en bas. C'est à cette canaille que songeait sans doute saint Jérôme,"
lesmis_0016,"et à tous ces pauvres gens, et à tous ces vagabonds, et à tous ces misérables d'où sont sortis les apôtres et les martyrs, quand il disait cette parole mystérieuse:"
lesmis_0017,"_Fex urbis, lex orbis._"
lesmis_0018,"Les exaspérations de cette foule qui souffre et qui saigne, ses violences à contre-sens sur les principes qui sont sa vie, ses voies de fait contre le droit, sont des coups d'État populaires, et doivent être réprimés."
